Gryffindor,Hufflepuff,Ravenclaw,Slytherin,Mean,Std
nan,nan,nan,nan,,
nan,nan,nan,nan,-0.42207823533907507,5.230415751732173
nan,nan,nan,nan,-243.49334764166724,8.764288844250245
nan,nan,nan,nan,1.0544920036894156,5.197589680947494
nan,nan,nan,nan,3.154932708688245,4.217329266589379
nan,nan,nan,nan,-228.23844624406843,484.5783026680016
nan,nan,nan,nan,27.53539897271499,14.561142533910328
nan,nan,nan,nan,59365.82310469106,4236.06656876195
nan,nan,nan,nan,28.126891877336785,18.117124893306062
nan,nan,nan,nan,27.739466539182285,14.521848713061868
nan,nan,nan,nan,286908.91976050753,184451.37936065593
